tweet_s,lyric_s,heat
0.3008356545961003,4.95e-05,23
0.0,0.997098327,9
0.6277777777777778,0.564861536,12
0.05555555555555555,0.919123769,6
0.11320754716981132,0.02325324,2
0.5888888888888889,0.245821729,1
0.9222222222222223,0.576959729,12
0.5333333333333333,0.039606359,9
0.1375,0.00544501,17
0.20555555555555555,0.976119637,0
0.21428571428571427,0.045920271,6
0.07142857142857142,0.997901678,6
0.6388888888888888,0.993450105,0
0.7277777777777777,0.941640615,18
0.5333333333333333,0.938408494,7
0.25555555555555554,0.996669233,9
0.12222222222222222,0.9857200979999999,24
0.7555555555555555,0.00061528,0
0.8111111111111111,0.997672379,8
0.6611111111111111,0.99250716,7
0.5277777777777778,0.9852578040000001,9
0.5444444444444444,0.021277092,8
0.005649717514124294,0.040718034,5
0.0,0.011995748999999998,7
0.10555555555555556,0.980167747,17
0.0,0.004864282,22
0.29444444444444445,0.9191004629999999,8
0.21666666666666667,0.9860838059999999,7
0.2,0.018618088,3
0.09444444444444444,0.741947591,12
0.5055555555555555,0.964547157,22
0.7777777777777778,0.017084813,0
0.7209302325581395,0.22003755,1
0.0,0.033513958999999996,18
1.0,0.920043528,2
0.4777777777777778,0.026963917999999996,8
0.03888888888888889,0.0023840470000000002,8
0.46111111111111114,0.82553494,0
0.18333333333333332,0.995556533,5
0.18888888888888888,0.9823564290000001,3
0.32222222222222224,0.313943177,7
0.7222222222222222,0.954949319,0
0.8111111111111111,0.133139625,0
0.07222222222222222,0.998551071,5
0.09333333333333334,0.946750402,4
0.5388888888888889,0.0038054720000000003,0
0.0,0.982350945,13
0.011111111111111112,0.7652867440000001,0
0.6944444444444444,0.725366712,16
0.2222222222222222,0.997017741,5
0.3611111111111111,0.00046292699999999997,15
0.0,0.962750971,5
0.4375,0.00573317,10
0.7,0.990332067,9
0.0,0.497639447,27
0.6777777777777778,0.007515071999999999,7
0.42777777777777776,0.998777092,0
0.0,0.169388905,12
0.21782178217821782,0.148258299,0
0.5111111111111111,0.99354279,10
0.6166666666666667,0.00052755,5
0.0,0.02939097,6
0.7844827586206896,0.9747132059999999,2
0.0,0.999593079,8
0.6944444444444444,0.97171098,7
0.6222222222222222,0.11850907699999999,20
0.05555555555555555,0.995913088,0
0.4444444444444444,0.96795243,10
0.7777777777777778,0.9951000809999999,3
0.40555555555555556,0.996024847,1
0.1388888888888889,0.35763824,4
0.65,0.589796662,7
0.0,0.9975047709999999,8
0.07142857142857142,0.609462142,20
0.7833333333333333,0.135765269,18
0.0,0.941405058,31
